customer_name,customer_contact,customer_address,customer_city,customer_postal_code,customer_country,order_date,order_quantity,product_name,product_unit,product_price,category_name,category_description,shipper_name,shipper_phone,supplier_name,supplier_contact,supplier_address,supplier_city,supplier_postal_code,supplier_country,supplier_phone,employee_last_name,employee_first_name,employee_birthdate,employee_photo,employee_notes
"Victuailles en stock","Mary Saveley","2, rue du Commerce",Lyon,69004,France,"1996-07-08 00:00:00",20,"Louisiana Fiery Hot Pepper Sauce","32 - 8 oz bottles",21.05,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings","Speedy Express","(503) 555-9831","New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans",70117,USA,"(100) 555-4822",Leverling,Janet,"1963-08-30 00:00:00",EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative."
"Supremes delices","Pascale Cartrain","Boulevard Tirou, 255",Charleroi,B-6000,Belgium,"1996-07-09 00:00:00",40,"Sir Rodneys Marmalade","30 gift boxes",81,Confections,"Desserts, candies, and sweet breads","United Package","(503) 555-3199","Specialty Biscuits, Ltd.","Peter Wilson","29 Kings Way",Manchester,"M14 GSD",UK,"(161) 555-4448",Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
"Supremes delices","Pascale Cartrain","Boulevard Tirou, 255",Charleroi,B-6000,Belgium,"1996-07-09 00:00:00",25,Geitost,"500 g",2.5,"Dairy Products",Cheeses,"United Package","(503) 555-3199","Norske Meierier","Beate Vileid","Hatlevegen 5",Sandvika,1320,Norway,(0)2-953010,Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
"Supremes delices","Pascale Cartrain","Boulevard Tirou, 255",Charleroi,B-6000,Belgium,"1996-07-09 00:00:00",40,"Camembert Pierrot","15 - 300 g rounds",34,"Dairy Products",Cheeses,"United Package","(503) 555-3199","Gai paturage","Eliane Noz","Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Rio de Janeiro",05454-876,Brazil,"1996-07-10 00:00:00",20,"Gorgonzola Telino","12 - 100 g pkgs",12.5,"Dairy Products",Cheeses,"United Package","(503) 555-3199","Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",Ravenna,48100,Italy,"(0544) 60323",Leverling,Janet,"1963-08-30 00:00:00",EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative."
"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Rio de Janeiro",05454-876,Brazil,"1996-07-10 00:00:00",42,"Chartreuse verte","750 cc per bottle",18,Beverages,"Soft drinks, coffees, teas, beers, and ales","United Package","(503) 555-3199","Aux joyeux ecclesiastiques","Guylene Nodier","203, Rue des Francs-Bourgeois",Paris,75004,France,"(1) 03.83.00.68",Leverling,Janet,"1963-08-30 00:00:00",EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative."
"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Rio de Janeiro",05454-876,Brazil,"1996-07-10 00:00:00",40,Maxilaku,"24 - 50 g pkgs.",20,Confections,"Desserts, candies, and sweet breads","United Package","(503) 555-3199","Karkki Oy","Anne Heikkonen","Valtakatu 12",Lappeenranta,53120,Finland,"(953) 10956",Leverling,Janet,"1963-08-30 00:00:00",EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative."
"Chop-suey Chinese","Yang Wang","Hauptstr. 29",Bern,3012,Switzerland,"1996-07-11 00:00:00",15,"Guarana Fantastica","12 - 355 ml cans",4.5,Beverages,"Soft drinks, coffees, teas, beers, and ales","United Package","(503) 555-3199","Refrescos Americanas LTDA","Carlos Diaz","Av. das Americanas 12.890","Sao Paulo",5442,Brazil,"(11) 555 4640",Buchanan,Steven,"1955-03-04 00:00:00",EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French."
"Chop-suey Chinese","Yang Wang","Hauptstr. 29",Bern,3012,Switzerland,"1996-07-11 00:00:00",21,"Pate chinois","24 boxes x 2 pies",24,Meat/Poultry,"Prepared meats","United Package","(503) 555-3199","Ma Maison","Jean-Guy Lauzon","2960 Rue St. Laurent",Montreal,"H1J 1C3",Canada,"(514) 555-9022",Buchanan,Steven,"1955-03-04 00:00:00",EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French."
"Chop-suey Chinese","Yang Wang","Hauptstr. 29",Bern,3012,Switzerland,"1996-07-11 00:00:00",21,"Longlife Tofu","5 kg pkg.",10,Produce,"Dried fruit and bean curd","United Package","(503) 555-3199","Tokyo Traders","Yoshi Nagase","9-8 Sekimai Musashino-shi",Tokyo,100,Japan,"(03) 3555-5011",Buchanan,Steven,"1955-03-04 00:00:00",EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French."
"Richter Supermarkt","Michael Holz","Grenzacherweg 237",Geneve,1203,Switzerland,"1996-07-12 00:00:00",20,Chang,"24 - 12 oz bottles",19,Beverages,"Soft drinks, coffees, teas, beers, and ales","Federal Shipping","(503) 555-9931","Exotic Liquid","Charlotte Cooper","49 Gilbert St.",Londona,"EC1 4SD",UK,"(171) 555-2222",Dodsworth,Anne,"1969-07-02 00:00:00",EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German."
"Richter Supermarkt","Michael Holz","Grenzacherweg 237",Geneve,1203,Switzerland,"1996-07-12 00:00:00",35,Pavlova,"32 - 500 g boxes",17.45,Confections,"Desserts, candies, and sweet breads","Federal Shipping","(503) 555-9931","Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343",Dodsworth,Anne,"1969-07-02 00:00:00",EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German."
"Richter Supermarkt","Michael Holz","Grenzacherweg 237",Geneve,1203,Switzerland,"1996-07-12 00:00:00",25,"Inlagd Sill","24 - 250 g jars",19,Seafood,"Seaweed and fish","Federal Shipping","(503) 555-9931","Svensk Sjofoda AB","Michael Bjorn","Brovallavagen 231",Stockholm,"S-123 45",Sweden,"08-123 45 67",Dodsworth,Anne,"1969-07-02 00:00:00",EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German."
"Richter Supermarkt","Michael Holz","Grenzacherweg 237",Geneve,1203,Switzerland,"1996-07-12 00:00:00",30,"Raclette Courdavault","5 kg pkg.",55,"Dairy Products",Cheeses,"Federal Shipping","(503) 555-9931","Gai paturage","Eliane Noz","Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dodsworth,Anne,"1969-07-02 00:00:00",EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German."
"Wellington Importadora","Paula Parente","Rua do Mercado, 12",Resende,08737-363,Brazil,"1996-07-15 00:00:00",15,"Perth Pasties","48 pieces",32.8,Meat/Poultry,"Prepared meats","United Package","(503) 555-3199","Gday, Mate","Wendy Mackenzie","170 Prince Edward Parade Hunters Hill",Sydney,2042,Australia,"(02) 555-5914",Leverling,Janet,"1963-08-30 00:00:00",EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative."
"Wellington Importadora","Paula Parente","Rua do Mercado, 12",Resende,08737-363,Brazil,"1996-07-15 00:00:00",12,"Original Frankfurter grune Sosse","12 boxes",13,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings","United Package","(503) 555-3199","Plutzer Lebensmittelgrossmarkte AG","Martin Bein","Bogenallee 51",Frankfurt,60439,Germany,"(069) 992755",Leverling,Janet,"1963-08-30 00:00:00",EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative."
HILARIoN-Abastos,"Carlos Hernandez","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristobal",5022,Venezuela,"1996-07-16 00:00:00",25,"Schoggi Schokolade","100 - 100 g pieces",43.9,Confections,"Desserts, candies, and sweet breads","Federal Shipping","(503) 555-9931","Heli Susswaren GmbH and Co. KG","Petra Winkler","Tiergartenstrasse 5",Berlin,10785,Germany,"(010) 9984510",Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
HILARIoN-Abastos,"Carlos Hernandez","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristobal",5022,Venezuela,"1996-07-16 00:00:00",6,"Chartreuse verte","750 cc per bottle",18,Beverages,"Soft drinks, coffees, teas, beers, and ales","Federal Shipping","(503) 555-9931","Aux joyeux ecclesiastiques","Guylene Nodier","203, Rue des Francs-Bourgeois",Paris,75004,France,"(1) 03.83.00.68",Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
HILARIoN-Abastos,"Carlos Hernandez","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristobal",5022,Venezuela,"1996-07-16 00:00:00",15,"Original Frankfurter grune Sosse","12 boxes",13,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings","Federal Shipping","(503) 555-9931","Plutzer Lebensmittelgrossmarkte AG","Martin Bein","Bogenallee 51",Frankfurt,60439,Germany,"(069) 992755",Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,"1996-07-17 00:00:00",50,Chang,"24 - 12 oz bottles",19,Beverages,"Soft drinks, coffees, teas, beers, and ales","Speedy Express","(503) 555-9831","Exotic Liquid","Charlotte Cooper","49 Gilbert St.",Londona,"EC1 4SD",UK,"(171) 555-2222",Davolio,Nancy,"1968-12-08 00:00:00",EmpID1.pic,"Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of 'Toastmasters International'."
"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,"1996-07-17 00:00:00",65,"Chef Antons Gumbo Mix","36 boxes",21.35,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings","Speedy Express","(503) 555-9831","New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans",70117,USA,"(100) 555-4822",Davolio,Nancy,"1968-12-08 00:00:00",EmpID1.pic,"Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of 'Toastmasters International'."
"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,"1996-07-17 00:00:00",6,"Mascarpone Fabioli","24 - 200 g pkgs.",32,"Dairy Products",Cheeses,"Speedy Express","(503) 555-9831","Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",Ravenna,48100,Italy,"(0544) 60323",Davolio,Nancy,"1968-12-08 00:00:00",EmpID1.pic,"Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of 'Toastmasters International'."
"Centro comercial Moctezuma","Francisco Chang","Sierras de Granada 9993","Mexico D.F.",05022,Mexico,"1996-07-18 00:00:00",10,"Sir Rodneys Scones","24 pkgs. x 4 pieces",10,Confections,"Desserts, candies, and sweet breads","Federal Shipping","(503) 555-9931","Specialty Biscuits, Ltd.","Peter Wilson","29 Kings Way",Manchester,"M14 GSD",UK,"(161) 555-4448",Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
"Centro comercial Moctezuma","Francisco Chang","Sierras de Granada 9993","Mexico D.F.",05022,Mexico,"1996-07-18 00:00:00",1,"Gravad lax","12 - 500 g pkgs.",26,Seafood,"Seaweed and fish","Federal Shipping","(503) 555-9931","Svensk Sjofoda AB","Michael Bjorn","Brovallavagen 231",Stockholm,"S-123 45",Sweden,"08-123 45 67",Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
"Old World Delicatessen","Rene Phillips","2743 Bering St.",Anchorage,99508,USA,"1996-07-19 00:00:00",16,"Jacks New England Clam Chowder","12 - 12 oz cans",9.65,Seafood,"Seaweed and fish","Speedy Express","(503) 555-9831","New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.",Boston,02134,USA,"(617) 555-3267",Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
"Old World Delicatessen","Rene Phillips","2743 Bering St.",Anchorage,99508,USA,"1996-07-19 00:00:00",50,"Ravioli Angelo","24 - 250 g pkgs.",19.5,Grains/Cereals,"Breads, crackers, pasta, and cereal","Speedy Express","(503) 555-9831","Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153",Salerno,84100,Italy,"(089) 6547665",Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
"Old World Delicatessen","Rene Phillips","2743 Bering St.",Anchorage,99508,USA,"1996-07-19 00:00:00",15,"Tarte au sucre","48 pies",49.3,Confections,"Desserts, candies, and sweet breads","Speedy Express","(503) 555-9831","Forets derables","Chantal Goulet","148 rue Chasseur",Ste-Hyacinthe,"J2S 7S8",Canada,"(514) 555-2955",Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
"Old World Delicatessen","Rene Phillips","2743 Bering St.",Anchorage,99508,USA,"1996-07-19 00:00:00",21,"Outback Lager","24 - 355 ml bottles",15,Beverages,"Soft drinks, coffees, teas, beers, and ales","Speedy Express","(503) 555-9831","Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343",Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
"Que Delicia","Bernardo Batista","Rua da Panificadora, 12","Rio de Janeiro",02389-673,Brazil,"1996-07-19 00:00:00",20,"Sir Rodneys Scones","24 pkgs. x 4 pieces",10,Confections,"Desserts, candies, and sweet breads","United Package","(503) 555-3199","Specialty Biscuits, Ltd.","Peter Wilson","29 Kings Way",Manchester,"M14 GSD",UK,"(161) 555-4448",Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
"Que Delicia","Bernardo Batista","Rua da Panificadora, 12","Rio de Janeiro",02389-673,Brazil,"1996-07-19 00:00:00",20,"Steeleye Stout","24 - 12 oz bottles",18,Beverages,"Soft drinks, coffees, teas, beers, and ales","United Package","(503) 555-3199","Bigfoot Breweries","Cheryl Saylor","3400 - 8th Avenue Suite 210",Bend,97101,USA,"(503) 555-9931",Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
"Rattlesnake Canyon Grocery","Paula Wilson","2817 Milton Dr.",Albuquerque,87110,USA,"1996-07-22 00:00:00",12,"Chef Antons Gumbo Mix","36 boxes",21.35,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings","Federal Shipping","(503) 555-9931","New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans",70117,USA,"(100) 555-4822",Callahan,Laura,"1958-01-09 00:00:00",EmpID8.pic,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French."
"Rattlesnake Canyon Grocery","Paula Wilson","2817 Milton Dr.",Albuquerque,87110,USA,"1996-07-22 00:00:00",15,"Uncle Bobs Organic Dried Pears","12 - 1 lb pkgs.",30,Produce,"Dried fruit and bean curd","Federal Shipping","(503) 555-9931","Grandma Kellys Homestead","Regina Murphy","707 Oxford Rd.","Ann Arbor",48104,USA,"(313) 555-5735",Callahan,Laura,"1958-01-09 00:00:00",EmpID8.pic,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French."
"Rattlesnake Canyon Grocery","Paula Wilson","2817 Milton Dr.",Albuquerque,87110,USA,"1996-07-22 00:00:00",2,"Gnocchi di nonna Alice","24 - 250 g pkgs.",38,Grains/Cereals,"Breads, crackers, pasta, and cereal","Federal Shipping","(503) 555-9931","Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153",Salerno,84100,Italy,"(089) 6547665",Callahan,Laura,"1958-01-09 00:00:00",EmpID8.pic,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French."
"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,"1996-07-23 00:00:00",60,Pavlova,"32 - 500 g boxes",17.45,Confections,"Desserts, candies, and sweet breads","Federal Shipping","(503) 555-9931","Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343",Dodsworth,Anne,"1969-07-02 00:00:00",EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German."
"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,"1996-07-23 00:00:00",28,"Guarana Fantastica","12 - 355 ml cans",4.5,Beverages,"Soft drinks, coffees, teas, beers, and ales","Federal Shipping","(503) 555-9931","Refrescos Americanas LTDA","Carlos Diaz","Av. das Americanas 12.890","Sao Paulo",5442,Brazil,"(11) 555 4640",Dodsworth,Anne,"1969-07-02 00:00:00",EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German."
"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,"1996-07-23 00:00:00",60,"Nord-Ost Matjeshering","10 - 200 g glasses",25.89,Seafood,"Seaweed and fish","Federal Shipping","(503) 555-9931","Nord-Ost-Fisch Handelsgesellschaft mbH","Sven Petersen","Frahmredder 112a",Cuxhaven,27478,Germany,"(04721) 8713",Dodsworth,Anne,"1969-07-02 00:00:00",EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German."
"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,"1996-07-23 00:00:00",36,"Longlife Tofu","5 kg pkg.",10,Produce,"Dried fruit and bean curd","Federal Shipping","(503) 555-9931","Tokyo Traders","Yoshi Nagase","9-8 Sekimai Musashino-shi",Tokyo,100,Japan,"(03) 3555-5011",Dodsworth,Anne,"1969-07-02 00:00:00",EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German."
"Folk och fa HB","Maria Larsson","akergatan 24",Bracke,"S-844 67",Sweden,"1996-07-24 00:00:00",35,Chang,"24 - 12 oz bottles",19,Beverages,"Soft drinks, coffees, teas, beers, and ales","Federal Shipping","(503) 555-9931","Exotic Liquid","Charlotte Cooper","49 Gilbert St.",Londona,"EC1 4SD",UK,"(171) 555-2222",Suyama,Michael,"1963-07-02 00:00:00",EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish."
